ID,Last Name,First Name ,RIF?,Legacy,Group #,SF,LC,PS,I,PIG 1,PIG 2,Total,Notes (Rifs # and interests)
,Drewry,Lucia,,,11,,,1,,,1,2,
,Drummond,MacRae,,,12,,1,0,1,,0,2,
,Dubiski,Maddie,,,1,,,2,,,0,2,
,Dubois,Maddie,,,2,,,0,,,2,2,
,Duda ,Maddie,,,3,,,1,,,1,2,
,Duff,Maddie,,,4,,,1,,,1,2,
,Duffield,Maddie,,,5,,,1,,,1,2,
,Duhon,Madison,,,6,,,1,,,1,2,
,Duke,Madison,,,7,,,1,,,1,2,
,Duke,Madison,,,8,,,1,,,1,2,
,Duncan,Madison,,,9,,,1,1,,0,2,
,Duncan,Madison,,,10,,,1,1,,0,2,
,Dunnigan,Madison,,,11,,,1,,,1,2,
,Duplisse,Mallory,,ZTA,12,,,0,,,1,1,
,Duthu,Mallory,,ZTA,1,,,1,,,0,1,
,Dutreix,Mallory,,ZTA,2,,,0,,,1,1,
,Dutton,Mallory,,ZTA,3,,,1,,,0,1,
,Dwyer,Maggie,,"Yes, XO, KKG",4,,,1,,,0,1,
,Dyer,Mary,,"Yes, MS BETA",5,,,1,,,0,1,
,Earls,Mary,,"Yes, MS BETA, KKG",6,,,0,,,1,1,
,Early,Margaret,,XO(in house),7,,,1,,,0,1,
,Earrey,Mary Franklin,,XOP,8,,,1,,,0,1,
,Eason,Mary Fondren,,Yes,9,,,1,,,0,1,
,Eason,Mary Claire,,Yes,10,,,,1,,,1,
,Easter,Mary Elizabeth,,Yes,11,,,0,,,1,1,
,Easterling,Mary Claire,,Yes,12,,,0,,,1,1,
,Eaton,Mary Chose,,Yes,1,,,1,,,0,1,
,Eckenrode,Mary Arden,,Yes,2,,,1,,,0,1,
,Edmonds,Meagan,,Yes,3,1,,0,,,0,1,
,Edmondson,Meagan,,Yes,4,,,1,,,0,1,
,Edwards,Millie,,"XO, SK",5,,,0,,,1,1,
,Edwards,Mia,,XO,6,,,1,,,0,1,
,Edwards,Merry Alston,,XO,7,,,0,,,1,1,
,Eickholz,Meghan,,XO,8,,,1,,,0,1,
,Elder,Megan,,XO,9,,,0,,,1,1,
,Eline,Medley,,OM,10,,,0,,,1,1,
,Ellinger,Meaghan,,OM,11,,,1,,,0,1,
,Elliot,Nina,,OM,12,,,0,,,1,1,
,Ellis,Nikki,,OM,1,,,1,,,0,1,
,Ellison,Nikki,,OM,2,,,1,,,0,1,
,Elmore,Nikki,,OM,3,,,1,,,0,1,
,Elmore,Nicole,,OM,4,,,1,,,0,1,
,Elves,Olivia,,KKG,5,,,1,,,0,1,
,Emerson,Olivia,,KKG,6,,,1,,,0,1,
,Emfinger,Olivia,,KKG,7,,,1,,,0,1,
,Emshoff,Olivia,,KKG,8,,,1,,,0,1,
,Engle,Olivia,,KKG,9,,,1,,,0,1,
,Englehart,Olivia,,KKG,10,,,1,,,0,1,
,Eustice,Perry,,"KD, XO",11,,,1,,,0,1,
,Everett,Payton,,"KD, XO",12,,,1,,,0,1,
,Falkner,Rives,,KD ,1,,,1,,,0,1,
,Falls,Reagan-Mary,,KD,2,,,1,,,0,1,
,Farley,Ragan,,KD,3,,,,,,,0,
,Farris,Rachel,,"KAT, XO",4,,,,,,,0,
,Farris,Tasia,,"KAT, DDD",5,,,,,,,0,
,Farris,Sydney,,KAT,6,,,0,,,0,0,
,Faucett,Sydney,,Gphi,7,,,0,,,0,0,
,Fawcett,Summer,,DZ ,8,,,0,,,0,0,
,Fay,Stella,,"DG, OM",9,,,0,,,0,0,
,Faylor,Stacy A.,,"DG, ZTA",10,,,0,,,0,0,
,Fehlman,Shelby,,DG,11,,,0,,,0,0,
,Fellows,Shannon A.,,DG,12,,,0,,,0,0,
,Fennell,Savanna M.,,"DDD, OM ",1,,,0,,,0,0,
,Ferguson,Savanna,,"DDD, OM ",2,,,0,,,0,0,
,Ferguson,Savanah,,"DDD, XO",3,,,,,,,0,
